2018-05-03 03:19:47.918 JST [56543] LOG:  received fast shutdown request
2018-05-03 03:41:22.093 JST [62002] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.02 s, elapsed: 0.12 s
2018-05-03 03:41:52.047 JST [62119] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:42:47.056 JST [62345] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:44:32.352 JST [62777] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:45:17.373 JST [62960] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:46:17.549 JST [63233] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.11 s, system: 0.02 s, elapsed: 0.13 s
2018-05-03 03:47:22.498 JST [63529] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:47:57.492 JST [63666] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:50:17.736 JST [64249] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:50:42.713 JST [64346] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:50:55.472 JST [56793] LOG:  checkpoint starting: time
2018-05-03 04:17:22.471 JST [56793] LOG:  checkpoint complete: wrote 2266135 buffers (34.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1586.012 s, sync=0.138 s, total=1586.999 s; sync files=136, longest=0.138 s, average=0.001 s; distance=17822538 kB, estimate=17822538 kB
2018-05-03 04:18:10.456 JST [71097] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.02 s, elapsed: 0.16 s
2018-05-03 04:19:20.505 JST [71389] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 04:19:35.492 JST [71450] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
